Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Spending,Imports,Inflation Rate,Investment,Life Expectancy,Population,Unemployment Rate,exchange_rate,Trade_Balance,Inflation_diff,Unemployment_diff,GDP_growth_calc,Population_growth,Investment_growth,Investment_to_GDP,Trade_to_GDP,Inflation_volatility,Inflation_shock
Afghanistan,1985,2079570874.83738,0.0,3521418059.92345,-0.4792251817876981,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,32.132,11426852.0,16.6214665678908,39.276429270146,-5162251667.33856,0.0,0.00953811976459984,0.0,0.021146231160224627,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1986,2079570874.83738,0.0,3521418059.92345,-0.3313166439361126,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,38.4,11420074.0,16.7665902764903,39.276429270146,-5162251667.33856,0.0,0.008731101314480405,0.0,-0.0005931642415601956,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1987,2079570874.83738,400000.0,3521418059.92345,0.1442770054201833,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,38.831,11387818.0,16.9016034714497,39.276429270146,-5162251667.33856,0.0,0.008052513524393179,0.0,-0.002824500086426762,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1988,2079570874.83738,0.0,3521418059.92345,0.4772667288671879,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,43.238,11523298.0,17.0283116060842,39.276429270146,-5162251667.33856,0.0,0.007496811462210262,0.0,0.011896923537063842,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1989,2079570874.83738,0.0,3521418059.92345,0.4426749693074935,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,44.496,11874088.0,17.1485201337089,39.276429270146,-5162251667.33856,0.0,0.007059333327078088,0.0,0.030441805809413136,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1990,2079570874.83738,10.0,3521418059.92345,0.4505653060189369,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,45.118,12045660.0,17.264034507639,39.276429270146,-5162251667.33856,0.0,0.006736113263968058,0.0,0.014449278125612697,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1991,2079570874.83738,-280000.0,3521418059.92345,0.3539875581162557,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,45.521,12238879.0,17.3766601811896,39.276429270146,-5162251667.33856,0.0,0.006523716892523845,0.0,0.016040549044220143,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1992,2079570874.83738,360000.0,3521418059.92345,0.9505045371999812,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,46.569,13278974.0,17.4882026076758,39.276429270146,-5162251667.33856,0.0,0.006419094654733781,0.0,0.0849828648522466,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1993,2079570874.83738,-20000.0,3521418059.92345,1.6111832551636134,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,51.021,14943172.0,17.6004672404128,39.276429270146,-5162251667.33856,0.0,0.006419449457185866,0.0,0.1253257970081123,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1994,2079570874.83738,20000.0,3521418059.92345,1.6032476458549902,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,50.969,16250794.0,17.7152595327158,38.818463,-5162251667.33856,0.0,0.006522116187882787,0.0,0.08750632061251795,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1995,2079570874.83738,-93330.0,3521418059.92345,1.805008898339128,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,52.103,17065836.0,17.8343849378999,36.5671446236559,-5162251667.33856,0.0,0.006724451592939218,0.0,0.05015398016859973,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1996,2079570874.83738,690000.0,3521418059.92345,3.49459459117004,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,52.83,17763266.0,17.9596489092802,47.5,-5162251667.33856,0.0,0.007023733748961591,0.0,0.040867028137385075,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1997,2079570874.83738,-1460000.0,3521418059.92345,1.1844706272146697,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,53.212,18452091.0,18.0928569001719,47.5,-5162251667.33856,0.0,0.007417070988668728,0.0,0.03877806029589381,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1998,2079570874.83738,-10000.0,3521418059.92345,1.794511814639199,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,52.487,19159996.0,18.2358143638901,47.5,-5162251667.33856,0.0,0.007901320643111998,0.0,0.03836448671318604,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,1999,2079570874.83738,6040000.0,3521418059.92345,4.480329605710464,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,54.532,19887785.0,18.3903267537499,46.6195310771889,-5162251667.33856,0.0,0.00847301835698433,0.0,0.03798482003858461,0.0,0.6517067277854218,-1.465958196241766,0.0,0
Afghanistan,2000,2079570874.83738,170000.0,3521418059.92345,1.8857462746824167,174.930991430166,4412100128.92726,7241822542.17594,12.6862687216715,2294931840.9972,55.005,20130327.0,18.5581995230666,47.3575747311828,-5162251667.33856,0.0,0.009128319010561992,0.0,0.012195526047772631,0.0,0.6517067277854218,-1.465958196241766,0.0,0
