Exports,Population,Government Spending,Unemployment Rate,exchange_rate,Life Expectancy,GDP Growth,GDP per Capita,Foreign Direct Investment,Trade_Balance,Country,Year,GDP
-0.4479222419498224,-0.28106352123908984,-0.3131723689378261,-2.276837375123904,-0.21337051572892,-5.286439003310091,-0.8763339431940049,-0.7699057102477537,-0.2943656169969955,-0.12962592957498018,Afghanistan,-1.780500102018192,-0.30966384424614046
-0.4479222419498224,-0.28110157950538106,-0.3131723689378261,-2.269897391754813,-0.21337051572892,-4.457124596106867,-0.8462074725438271,-0.7699057102477537,-0.2943656169969955,-0.12962592957498018,Afghanistan,-1.677376238476322,-0.30966384424614046
-0.4479222419498224,-0.28128269597594585,-0.3131723689378261,-2.2634409048260515,-0.21337051572892,-4.400099307417557,-0.7493370800238204,-0.7699057102477537,-0.29435583543798,-0.12962592957498018,Afghanistan,-1.5742523749344521,-0.30966384424614046
-0.4479222419498224,-0.28052197984771793,-0.3131723689378261,-2.257381575474714,-0.21337051572892,-3.81701242283801,-0.6815126983082556,-0.7699057102477537,-0.2943656169969955,-0.12962592957498018,Afghanistan,-1.471128511392582,-0.30966384424614046
-0.4479222419498224,-0.27855230454050595,-0.3131723689378261,-2.251633064837899,-0.21337051572892,-3.6505673806775665,-0.6885584553974023,-0.7699057102477537,-0.2943656169969955,-0.12962592957498018,Afghanistan,-1.3680046478507122,-0.30966384424614046
-0.4479222419498224,-0.277588932917002,-0.3131723689378261,-2.2461090340527003,-0.21337051572892,-3.5682710243788422,-0.6869513270949386,-0.7699057102477537,-0.29436561675245654,-0.12962592957498018,Afghanistan,-1.2648807843088423,-0.30966384424614046
-0.4479222419498224,-0.27650401403908587,-0.3131723689378261,-2.240723144256217,-0.21337051572892,-3.514950394815521,-0.7066225829258217,-0.7699057102477537,-0.2943724640883063,-0.12962592957498018,Afghanistan,-1.1617569207669722,-0.30966384424614046
-0.4479222419498224,-0.2706639118735321,-0.3131723689378261,-2.2353890565855488,-0.21337051572892,-3.3762902960999845,-0.5851221508092459,-0.7699057102477537,-0.29435681359388155,-0.12962592957498018,Afghanistan,-1.0586330572251024,-0.30966384424614046
-0.4479222419498224,-0.26131949012002853,-0.3131723689378261,-2.2300204321777897,-0.21337051572892,-2.7872494950679565,-0.4505530563199175,-0.7699057102477537,-0.2943661060749463,-0.12962592957498018,Afghanistan,-0.9555091936832324,-0.30966384424614046
-0.4479222419498224,-0.2539772318898421,-0.3131723689378261,-2.224530932170033,-0.2135532501832953,-2.7941295763019336,-0.45216940588567,-0.7699057102477537,-0.29436512791904473,-0.12962592957498018,Afghanistan,-0.8523853301413624,-0.30966384424614046
-0.4479222419498224,-0.2494007955554522,-0.3131723689378261,-2.2188342176993783,-0.21445155528116885,-2.644090881699436,-0.4110740469591582,-0.7699057102477537,-0.2943678992792528,-0.12962592957498018,Afghanistan,-0.7492614665994924,-0.30966384424614046
-0.4479222419498224,-0.2454847470663025,-0.3131723689378261,-2.2128439499029238,-0.21008920483705593,-2.5479020536782584,-0.06693398225845745,-0.7699057102477537,-0.29434874380769377,-0.12962592957498018,Afghanistan,-0.6461376030576225,-0.30966384424614046
-0.4479222419498224,-0.24161701539353453,-0.3131723689378261,-2.2064737899177653,-0.21008920483705593,-2.4973599184594266,-0.5374672104904048,-0.7699057102477537,-0.294401319687402,-0.12962592957498018,Afghanistan,-0.5430137395157525,-0.30966384424614046
-0.4479222419498224,-0.2376421500942048,-0.3131723689378261,-2.1996373988810003,-0.21008920483705593,-2.593284127971606,-0.4132121255893161,-0.7699057102477537,-0.2943658615359709,-0.12962592957498018,Afghanistan,-0.4398898759738825,-0.30966384424614046
-0.4479222419498224,-0.23355563673247706,-0.3131723689378261,-2.1922484379297282,-0.21044052330457755,-2.3227117025200124,0.133843588906521,-0.7699057102477537,-0.2942179154558617,-0.12962592957498018,Afghanistan,-0.33676601243201254,-0.30966384424614046
-0.4479222419498224,-0.23219377069193486,-0.3131723689378261,-2.1842205682010385,-0.21014603435809961,-2.260129425141721,-0.39462920723517214,-0.7699057102477537,-0.2943614598344139,-0.12962592957498018,Afghanistan,-0.2336421488901426,-0.30966384424614046
-0.4479222419498224,-0.23132917761971358,-0.3131723689378261,-2.175467450832035,-0.21008919904493303,-2.193180942364945,-2.69985765953534,-0.7718857894447096,-0.29434898834666917,-0.12962592957498018,Afghanistan,-0.13051828534827264,-0.31011952444801694
-0.4479222419498224,-0.22518746734353268,-0.3131723689378261,-2.1659027469598118,-0.2101837708968514,-2.0987121346522613,5.0466132508111725,-0.7696858004297986,-0.29314292212006005,-0.12962592957498018,Afghanistan,-0.02739442180640267,-0.30946796004017685
-0.4479222419498224,-0.2175795648852206,-0.3131723689378261,-2.1554401177214624,-0.2095853498544886,-1.9735475798956805,1.0202619224090785,-0.7685970993832958,-0.2929521817192581,-0.12962592957498018,Afghanistan,0.07572944173546729,-0.3090203917584791
-0.4479222419498224,-0.21293258768340428,-0.3131723689378261,-2.1439953315049998,-0.20995142069138872,-1.8890019662704634,-0.4906919212637404,-0.7673457514889814,-0.2897951835470107,-0.12962592957498018,Afghanistan,0.17885330527733725,-0.30856721989071495
-0.4479222419498224,-0.20819404155171536,-0.3131723689378261,-2.1293357478476502,-0.2092933346832461,-1.831182822054157,1.5085793461389156,-0.7655735826112561,-0.28773861076400525,-0.12962592957498018,Afghanistan,0.2819771688192072,-0.307937395031153
-0.4479222419498224,-0.2024694280880024,-0.3131723689378261,-2.1099900131126774,-0.20912146652225072,-1.7906961901772929,0.31248867397595964,-0.764478470986573,-0.2885455893827827,-0.12962592957498018,Afghanistan,0.3851010323610772,-0.30744266753640576
-0.4479222419498224,-0.19974191151717466,-0.3131723689378261,-2.087026060012741,-0.20910682796071445,-1.7373755606139707,2.037463865036217,-0.758902713564366,-0.2897514110704164,-0.12962592957498018,Afghanistan,0.48822489590294715,-0.30565551895144155
-0.4479222419498224,-0.19652582518144163,-0.3131723689378261,-2.061513941803772,-0.20899207305538142,-1.6378790012303044,0.02072903340429161,-0.7586015222110581,-0.2932399126357119,-0.12962592957498018,Afghanistan,0.5913487594448171,-0.3054228585952239
-0.4479222419498224,-0.19100362015432712,-0.3131723689378261,-2.0345237117416928,-0.20896199336481014,-1.5664320038005437,3.5781654302499075,-0.7547576771854696,-0.2929935761399054,-0.12962592957498018,Afghanistan,0.6944726229866871,-0.30393780674846976
-0.4479222419498224,-0.1864106421184775,-0.3131723689378261,-2.007125423082429,-0.21050718642181337,-1.5063636022577447,2.1466628446304212,-0.748823163194636,-0.2897004385843511,-0.12962592957498018,Afghanistan,0.7975964865285571,-0.30172295455282233
-0.4479222419498224,-0.18043845339992376,-0.3131723689378261,-1.9803891290819184,-0.2103896584708909,-1.433858130791987,-0.6918826029307795,-0.7463047196304093,-0.29308977350561755,-0.12962592957498018,Afghanistan,0.9007203500704271,-0.3004686415630062
-0.4479222419498224,-0.17363127934567185,-0.3131723689378261,-1.9553848829960778,-0.2087240220649704,-1.369688142359702,1.8187015969036846,-0.7438601084885728,-0.29297605703758106,-0.12962592957498018,Afghanistan,1.003844213612297,-0.29911531768662236
-0.4479222419498224,-0.16766441923359648,-0.3131723689378261,-1.933182738080838,-0.20694598063435996,-1.3097520500714022,0.3620532088389006,-0.7446434143610513,-0.29318421629195435,-0.12962592957498018,Afghanistan,1.106968077154167,-0.2989614040440896
-0.4479222419498224,-0.16109592070682155,-0.3131723689378261,-1.914852747592131,-0.20619982649166987,-1.3002257837474347,-0.22378040969125737,-0.7453011140276621,-0.29331470433112133,-0.12962592957498018,Afghanistan,1.2100919406960369,-0.2987356312716786
-0.4479222419498224,-0.15526061372560132,-0.3131723689378261,-1.901754762606054,-0.2046452875376185,-1.2989026912024384,-0.4831155884767912,-0.7485526841928211,-0.29022932317594324,-0.12962592957498018,Afghanistan,1.313215804237907,-0.29961301057141965
