Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Debt,Government Spending,Imports,Inflation Rate,Interest Rate,Investment,Life Expectancy,Population,Unemployment Rate
Afghanistan,1980,,9000000.0,,,,,,,,,,39.258,13169311.0,15.6809994542625
Afghanistan,1981,,180000.0,,,,,,,,,,39.406,11937581.0,15.9037575307894
Afghanistan,1982,,100000.0,,,,,,,,,,36.058,10991378.0,16.1073778271006
Afghanistan,1983,,0.0,,,,,,,,,,36.517,10917982.0,16.2936657965111
Afghanistan,1984,,0.0,,,,,,,,,,31.473,11190221.0,16.4644268923362
Afghanistan,1985,,0.0,,,,,,,,,,32.132,11426852.0,16.6214665678908
Afghanistan,1986,,0.0,,,,,,,,,,38.4,11420074.0,16.7665902764903
Afghanistan,1987,,400000.0,,,,,,,,,,38.831,11387818.0,16.9016034714497
Afghanistan,1988,,0.0,,,,,,,,,,43.238,11523298.0,17.0283116060842
Afghanistan,1989,,0.0,,,,,,,,,,44.496,11874088.0,17.1485201337089
Afghanistan,1990,,10.0,,,,,,,,,,45.118,12045660.0,17.264034507639
Afghanistan,1991,,-280000.0,,,,,,,,,,45.521,12238879.0,17.3766601811896
Afghanistan,1992,,360000.0,,,,,,,,,,46.569,13278974.0,17.4882026076758
Afghanistan,1993,,-20000.0,,,,,,,,,,51.021,14943172.0,17.6004672404128
Afghanistan,1994,,20000.0,,,,,,,,,,50.969,16250794.0,17.7152595327158
Afghanistan,1995,,-93330.0,,,,,,,,,,52.103,17065836.0,17.8343849378999
Afghanistan,1996,,690000.0,,,,,,,,,,52.83,17763266.0,17.9596489092802
Afghanistan,1997,,-1460000.0,,,,,,,,,,53.212,18452091.0,18.0928569001719
Afghanistan,1998,,-10000.0,,,,,,,,,,52.487,19159996.0,18.2358143638901
Afghanistan,1999,,6040000.0,,,,,,,,,,54.532,19887785.0,18.3903267537499
Afghanistan,2000,,170000.0,3521418059.92345,,174.930991430166,,,,,,,55.005,20130327.0,18.5581995230666
Afghanistan,2001,,680000.0,2813571753.87253,-9.4319740700862,138.706821676113,,,,,,,55.511,20284307.0,18.7412381251552
Afghanistan,2002,,50000000.0,3825701438.99963,28.6000011706788,178.954088379235,,,,,,,56.225,21378117.0,18.9412480133309
Afghanistan,2003,,57800000.0,4520946818.54581,8.83227780288267,198.871115728727,,,,,,,57.171,22733049.0,19.1600346409089
Afghanistan,2004,,186900000.0,5224896718.67782,1.41411799339429,221.763653873013,,,,,,,57.81,23560654.0,19.3993593959593
Afghanistan,2005,,271000000.0,6203256538.70967,11.2297148272859,254.184249149336,,,,12.6862687216715,,,58.247,24404567.0,19.7059095753667
Afghanistan,2006,,238000000.0,6971758282.29351,5.35740324748592,274.218553561575,,,,6.78459655001655,10.0468971030039,,58.553,25424094.0,20.1104530189181
Afghanistan,2007,,188690000.0,9747886187.39393,13.8263195471281,376.223152003876,,,,8.68057078513405,-3.58511111025937,,58.956,25909852.0,20.5906579215423
Afghanistan,2008,,46033740.0,10109297047.5432,3.92498381999467,381.73323802844,,,,26.4186641547443,12.5579601438018,,59.708,26482622.0,21.1241481349633
Afghanistan,2009,,56107246.5,12416152732.0567,21.3905283926492,452.053705477043,,,,-6.81116108898995,17.5429289286094,,60.248,27466101.0,21.6885475109053
Afghanistan,2010,,190774431.98,15856668555.8336,14.3624414710737,560.621505463146,,,,2.17853752389418,11.3640937418183,,60.702,28284089.0,22.2614799010924
Afghanistan,2011,,52173421.0,17805098206.3141,0.426354776777345,606.694676337726,,,,11.8041858089129,-1.24150600982001,,61.25,29347708.0,22.8205691572485
Afghanistan,2012,,56823660.0,19907329777.5872,12.7522870926697,651.417134470046,,,,6.44121280934117,7.17438724753763,,61.735,30560034.0,23.3434391310979
